"AvailabilityZone","BilledCost","BillingAccountId","BillingAccountName","BillingCurrency","BillingPeriodEnd","BillingPeriodStart","ChargeCategory","ChargeClass","ChargeDescription","ChargeFrequency","ChargePeriodEnd","ChargePeriodStart","CommitmentDiscountCategory","CommitmentDiscountId","CommitmentDiscountName","CommitmentDiscountStatus","CommitmentDiscountType","ConsumedQuantity","ConsumedUnit","ContractedCost","ContractedUnitPrice","EffectiveCost","InvoiceIssuerName","ListCost","ListUnitPrice","PricingCategory","PricingQuantity","PricingUnit","ProviderName","PublisherName","RegionId","RegionName","ResourceId","ResourceName","ResourceType","ServiceCategory","ServiceName","SkuId","SkuPriceId","SubAccountId","SubAccountName","Tags"
"analytics-availabilityzone-1",852.465793,"storage-billingaccountid-1","network-billingaccountname-1","JPY",2024-11-14 05:52:44,2024-04-06 12:41:36,"Usage","Correction",NULL,"Recurring",2024-01-08 01:11:47,2024-07-01 04:50:29,"Spend","compute-commitmentdiscountid-1",NULL,"Unused","serverless-commitmentdiscounttype-1",303.629634,"container-consumedunit-1",204.190098,74.694630,659.859793,"serverless-invoiceissuername-1",-927.839900,431.137497,"Standard",NULL,NULL,"database-providername-1","analytics-publishername-1","instance-regionid-1",NULL,"volume-resourceid-1","gateway-resourcename-1","container-resourcetype-1","Security","storage-servicename-1","container-skuid-1","analytics-skupriceid-1","database-subaccountid-1","database-subaccountname-1","{""key"":""value-1""}"
"analytics-availabilityzone-2",843.125768,"volume-billingaccountid-2","analytics-billingaccountname-2","GBP",2024-04-03 16:18:47,2024-11-03 11:49:07,"Adjustment","Correction","network-chargedescription-2","Recurring",2024-02-19 08:12:37,2024-11-10 19:23:07,"Spend",NULL,"serverless-commitmentdiscountname-2","Unused","serverless-commitmentdiscounttype-2",-184.023445,"gateway-consumedunit-2",291.492116,29.106797,220.895424,"container-invoiceissuername-2",988.564269,560.964150,"Dynamic",418.355551,"database-pricingunit-2","instance-providername-2","database-publishername-2","serverless-regionid-2","container-regionname-2","database-resourceid-2","database-resourcename-2","network-resourcetype-2","Compute","serverless-servicename-2","storage-skuid-2","compute-skupriceid-2","network-subaccountid-2","database-subaccountname-2","{""key"":""value-2""}"
"instance-availabilityzone-3",439.362325,"instance-billingaccountid-3","instance-billingaccountname-3","AUD",2024-06-05 14:48:12,2024-05-16 23:29:51,"Adjustment","Correction",NULL,"One-Time",2024-07-19 18:59:48,2024-08-24 20:35:21,"Usage","database-commitmentdiscountid-3","serverless-commitmentdiscountname-3","Unused","database-commitmentdiscounttype-3",NULL,NULL,647.656606,879.464715,466.247692,"storage-invoiceissuername-3",273.101058,NULL,"Dynamic",716.371042,"storage-pricingunit-3","serverless-providername-3","container-publishername-3","analytics-regionid-3","analytics-regionname-3","database-resourceid-3",NULL,"network-resourcetype-3","Management and Governance","container-servicename-3","analytics-skuid-3",NULL,NULL,NULL,"{""key"":""value-3""}"
NULL,870.655309,"container-billingaccountid-4",NULL,"AUD",2024-01-11 05:42:33,2024-02-28 18:39:47,"Tax","Correction","compute-chargedescription-4","One-Time",2024-01-08 16:40:33,2024-12-01 09:20:17,"Usage","volume-commitmentdiscountid-4","network-commitmentdiscountname-4","Unused","serverless-commitmentdiscounttype-4",809.917486,"gateway-consumedunit-4",549.728282,546.014195,966.971628,"gateway-invoiceissuername-4",308.718738,864.684894,"Other",879.873097,"container-pricingunit-4","instance-providername-4","serverless-publishername-4","serverless-regionid-4","network-regionname-4","analytics-resourceid-4","serverless-resourcename-4","gateway-resourcetype-4","Mobile","storage-servicename-4","volume-skuid-4","analytics-skupriceid-4",NULL,"instance-subaccountname-4","{""key"":""value-4""}"
"analytics-availabilityzone-5",615.862772,"container-billingaccountid-5",NULL,"USD",2024-02-04 09:49:50,2024-09-03 00:16:42,"Purchase","Correction","instance-chargedescription-5","Recurring",2024-02-18 05:28:16,2024-04-21 12:29:35,NULL,"serverless-commitmentdiscountid-5","storage-commitmentdiscountname-5",NULL,NULL,240.153786,"container-consumedunit-5",840.004695,32.081550,734.710449,"database-invoiceissuername-5",204.437111,138.108260,NULL,431.627354,"analytics-pricingunit-5","volume-providername-5","storage-publishername-5",NULL,"serverless-regionname-5","gateway-resourceid-5","storage-resourcename-5","serverless-resourcetype-5","Management and Governance","network-servicename-5","container-skuid-5","compute-skupriceid-5","container-subaccountid-5","compute-subaccountname-5","{""key"":""value-5""}"
"gateway-availabilityzone-6",251.035536,"analytics-billingaccountid-6","serverless-billingaccountname-6","GBP",2024-03-24 02:08:59,2024-03-14 12:37:29,"Credit","Correction","database-chargedescription-6","One-Time",2024-07-22 10:29:15,2024-06-01 20:21:25,"Usage",NULL,"compute-commitmentdiscountname-6","Unused","instance-commitmentdiscounttype-6",NULL,"container-consumedunit-6",481.647587,450.541725,-577.186952,"gateway-invoiceissuername-6",3.705566,368.999630,"Other",618.103952,"compute-pricingunit-6","container-providername-6","analytics-publishername-6","analytics-regionid-6","storage-regionname-6","container-resourceid-6","instance-resourcename-6","compute-resourcetype-6","Web","compute-servicename-6","analytics-skuid-6","container-skupriceid-6","instance-subaccountid-6","volume-subaccountname-6","{""key"":""value-6""}"
"instance-availabilityzone-7",957.427612,"storage-billingaccountid-7",NULL,"AUD",2024-01-14 20:40:46,2024-04-24 10:55:39,"Purchase","Correction","compute-chargedescription-7","One-Time",2024-03-18 08:38:58,2024-05-23 17:00:41,"Spend","instance-commitmentdiscountid-7","database-commitmentdiscountname-7","Unused","analytics-commitmentdiscounttype-7",995.847936,"compute-consumedunit-7",644.099945,596.357954,834.808423,"container-invoiceissuername-7",169.022581,679.412828,"Committed",630.238492,"compute-pricingunit-7","compute-providername-7","compute-publishername-7","compute-regionid-7",NULL,"compute-resourceid-7","serverless-resourcename-7",NULL,"Identity","instance-servicename-7","storage-skuid-7","serverless-skupriceid-7",NULL,"container-subaccountname-7","{""key"":""value-7""}"
"analytics-availabilityzone-8",588.157866,"container-billingaccountid-8","storage-billingaccountname-8","JPY",2024-09-08 22:56:25,2024-08-10 15:58:53,"Credit","Correction","volume-chargedescription-8","One-Time",2024-02-09 23:30:58,2024-01-19 14:59:15,"Spend","database-commitmentdiscountid-8","database-commitmentdiscountname-8","Used","serverless-commitmentdiscounttype-8",510.547650,"storage-consumedunit-8",570.317793,540.532971,888.548338,"instance-invoiceissuername-8",443.750213,588.066367,"Committed",-173.072214,"database-pricingunit-8","database-providername-8","compute-publishername-8",NULL,"network-regionname-8",NULL,"serverless-resourcename-8",NULL,"Mobile","network-servicename-8","serverless-skuid-8","database-skupriceid-8","analytics-subaccountid-8","compute-subaccountname-8","{""key"":""value-8""}"
"instance-availabilityzone-9",858.494484,"analytics-billingaccountid-9","serverless-billingaccountname-9","JPY",2024-10-27 09:22:09,2024-11-17 04:02:51,"Usage","Correction","volume-chargedescription-9","Recurring",2024-09-15 21:53:05,2024-03-26 09:42:32,"Spend","database-commitmentdiscountid-9","instance-commitmentdiscountname-9","Used","analytics-commitmentdiscounttype-9",728.843262,"volume-consumedunit-9",221.688999,NULL,-154.559177,"storage-invoiceissuername-9",338.966100,451.416997,"Other",438.605794,"network-pricingunit-9","container-providername-9","network-publishername-9",NULL,"database-regionname-9",NULL,"compute-resourcename-9","container-resourcetype-9","Analytics","serverless-servicename-9","storage-skuid-9","network-skupriceid-9","analytics-subaccountid-9","compute-subaccountname-9","{""key"":""value-9""}"
NULL,382.821532,"analytics-billingaccountid-10",NULL,"AUD",2024-10-07 02:11:41,2024-10-28 20:53:14,"Credit","Correction","compute-chargedescription-10","Usage-Based",2024-11-27 05:08:00,2024-12-19 15:05:38,"Usage",NULL,"network-commitmentdiscountname-10","Used",NULL,900.168083,"network-consumedunit-10",33.668390,NULL,926.168936,"volume-invoiceissuername-10",949.524824,NULL,"Dynamic",NULL,"container-pricingunit-10","serverless-providername-10","serverless-publishername-10","compute-regionid-10","serverless-regionname-10","analytics-resourceid-10","network-resourcename-10","storage-resourcetype-10","Web","storage-servicename-10","serverless-skuid-10","container-skupriceid-10","analytics-subaccountid-10","analytics-subaccountname-10","{""key"":""value-10""}"
