"AvailabilityZone","BilledCost","BillingAccountId","BillingAccountName","BillingAccountType","BillingCurrency","BillingPeriodEnd","BillingPeriodStart","CapacityReservationId","CapacityReservationStatus","ChargeCategory","ChargeClass","ChargeDescription","ChargeFrequency","ChargePeriodEnd","ChargePeriodStart","CommitmentDiscountCategory","CommitmentDiscountId","CommitmentDiscountName","CommitmentDiscountQuantity","CommitmentDiscountStatus","CommitmentDiscountType","CommitmentDiscountUnit","ConsumedQuantity","ConsumedUnit","ContractedCost","ContractedUnitPrice","EffectiveCost","InvoiceId","InvoiceIssuerName","ListCost","ListUnitPrice","PricingCategory","PricingCurrency","PricingCurrencyContractedUnitPrice","PricingCurrencyEffectiveCost","PricingCurrencyListUnitPrice","PricingQuantity","PricingUnit","ProviderName","PublisherName","RegionId","RegionName","ResourceId","ResourceName","ResourceType","ServiceCategory","ServiceName","ServiceSubcategory","SkuId","SkuMeter","SkuPriceDetails","SkuPriceId","SubAccountId","SubAccountName","SubAccountType","Tags"
"analytics-availabilityzone-1",852.465793,"storage-billingaccountid-1","network-billingaccountname-1","serverless-billingaccounttype-1","instance-billingcurrency-1",2024-06-07 21:44:18,2024-03-15 16:36:00,"instance-capacityreservationid-1",NULL,"Tax",NULL,"compute-chargedescription-1","One-Time",2024-10-15 00:10:50,2024-06-23 07:26:02,NULL,"container-commitmentdiscountid-1","serverless-commitmentdiscountname-1",303.629634,"Unused","network-commitmentdiscounttype-1","compute-commitmentdiscountunit-1",680.768932,"compute-consumedunit-1",943.735247,137.298408,-110.943166,"analytics-invoiceid-1","serverless-invoiceissuername-1",-899.557973,934.867732,"Committed","container-pricingcurrency-1",120.592573,562.800215,578.453024,596.239104,"network-pricingunit-1","analytics-providername-1","instance-publishername-1","volume-regionid-1","analytics-regionname-1","network-resourceid-1",NULL,"database-resourcetype-1","Networking","volume-servicename-1","Analytics","instance-skuid-1",NULL,NULL,"storage-skupriceid-1","serverless-subaccountid-1","analytics-subaccountname-1","serverless-subaccounttype-1","{""key"":""value-1""}"
"serverless-availabilityzone-2",886.878866,"gateway-billingaccountid-2","storage-billingaccountname-2","instance-billingaccounttype-2","database-billingcurrency-2",2024-01-21 15:52:54,2024-03-17 11:11:02,"gateway-capacityreservationid-2","Used","Purchase",NULL,"volume-chargedescription-2","Recurring",2024-12-05 04:33:17,2024-05-13 10:41:23,"Usage","analytics-commitmentdiscountid-2","container-commitmentdiscountname-2",235.407009,"Used","network-commitmentdiscounttype-2","serverless-commitmentdiscountunit-2",124.912165,NULL,577.535841,379.930077,712.049846,"analytics-invoiceid-2","storage-invoiceissuername-2",867.630352,894.506015,"Standard","instance-pricingcurrency-2",389.643611,984.491041,843.192817,-53.544628,"container-pricingunit-2","serverless-providername-2","gateway-publishername-2","instance-regionid-2","instance-regionname-2","container-resourceid-2","analytics-resourcename-2","serverless-resourcetype-2","Multicloud","volume-servicename-2","Media","instance-skuid-2","database-skumeter-2",NULL,NULL,NULL,"gateway-subaccountname-2","instance-subaccounttype-2","{""key"":""value-2""}"
"storage-availabilityzone-3",273.101058,"compute-billingaccountid-3","analytics-billingaccountname-3","container-billingaccounttype-3","gateway-billingcurrency-3",2024-10-22 04:39:31,2024-06-14 11:25:19,"storage-capacityreservationid-3","Used","Tax","Correction","storage-chargedescription-3","One-Time",2024-02-27 01:52:25,2024-07-03 19:03:22,"Usage","compute-commitmentdiscountid-3","gateway-commitmentdiscountname-3",796.383428,"Unused","compute-commitmentdiscounttype-3",NULL,NULL,"serverless-consumedunit-3",668.364910,22.132868,396.763791,"instance-invoiceid-3","container-invoiceissuername-3",204.966030,266.253427,"Other","serverless-pricingcurrency-3",809.917486,494.028529,687.277049,546.014195,"gateway-pricingunit-3","database-providername-3","serverless-publishername-3","instance-regionid-3","instance-regionname-3","instance-resourceid-3","database-resourcename-3","instance-resourcetype-3","Media","instance-servicename-3","Migration","network-skuid-3","analytics-skumeter-3",NULL,"serverless-skupriceid-3","gateway-subaccountid-3","storage-subaccountname-3","volume-subaccounttype-3","{""key"":""value-3""}"
"compute-availabilityzone-4",499.906675,"serverless-billingaccountid-4","analytics-billingaccountname-4","serverless-billingaccounttype-4","gateway-billingcurrency-4",2024-07-02 04:05:07,2024-05-24 20:41:05,NULL,"Unused","Purchase","Correction","instance-chargedescription-4","Recurring",2024-02-18 05:28:16,2024-04-21 12:29:35,NULL,"serverless-commitmentdiscountid-4","storage-commitmentdiscountname-4",NULL,NULL,"network-commitmentdiscounttype-4","volume-commitmentdiscountunit-4",840.004695,"compute-consumedunit-4",734.710449,204.437111,785.484339,NULL,"compute-invoiceissuername-4",772.554370,792.121023,"Other","storage-pricingcurrency-4",674.618727,770.164706,NULL,602.787996,"volume-pricingunit-4","container-providername-4","gateway-publishername-4",NULL,"container-regionname-4","compute-resourceid-4","gateway-resourcename-4","network-resourcetype-4","Storage","analytics-servicename-4","Compute","container-skuid-4","instance-skumeter-4",NULL,NULL,NULL,"network-subaccountname-4","container-subaccounttype-4","{""key"":""value-4""}"
"serverless-availabilityzone-5",158.358699,"instance-billingaccountid-5","network-billingaccountname-5","container-billingaccounttype-5","gateway-billingcurrency-5",2024-06-14 06:29:02,2024-11-11 10:15:30,NULL,"Used","Adjustment","Correction","compute-chargedescription-5","Recurring",2024-07-14 12:28:27,2024-07-01 16:00:41,"Spend","volume-commitmentdiscountid-5","serverless-commitmentdiscountname-5",-462.120564,"Used","analytics-commitmentdiscounttype-5","storage-commitmentdiscountunit-5",595.071314,"analytics-consumedunit-5",8.258065,NULL,516.079801,"container-invoiceid-5","serverless-invoiceissuername-5",851.928215,979.469476,"Other","instance-pricingcurrency-5",89.247508,34.778164,679.187175,327.629457,"volume-pricingunit-5","serverless-providername-5","network-publishername-5","database-regionid-5","compute-regionname-5",NULL,"serverless-resourcename-5","serverless-resourcetype-5","Other","analytics-servicename-5","Networking","compute-skuid-5","instance-skumeter-5",NULL,"container-skupriceid-5","analytics-subaccountid-5","instance-subaccountname-5","database-subaccounttype-5","{""key"":""value-5""}"
"volume-availabilityzone-6",172.680132,"compute-billingaccountid-6","gateway-billingaccountname-6","analytics-billingaccounttype-6","container-billingcurrency-6",2024-11-11 14:10:58,2024-03-20 16:34:32,"instance-capacityreservationid-6","Used","Usage",NULL,"compute-chargedescription-6","One-Time",2024-07-02 17:38:00,2024-05-24 08:11:44,"Spend","container-commitmentdiscountid-6","container-commitmentdiscountname-6",588.157866,"Used",NULL,"gateway-commitmentdiscountunit-6",923.300859,"container-consumedunit-6",338.224556,891.193732,693.173784,"container-invoiceid-6","volume-invoiceissuername-6",233.299506,982.661843,"Other",NULL,603.489347,250.605904,945.723312,512.470971,"network-pricingunit-6","volume-providername-6","serverless-publishername-6","container-regionid-6","analytics-regionname-6","container-resourceid-6","serverless-resourcename-6","instance-resourcetype-6","Media","instance-servicename-6","Integration","analytics-skuid-6","serverless-skumeter-6",NULL,"analytics-skupriceid-6","compute-subaccountid-6","database-subaccountname-6","compute-subaccounttype-6",NULL
"network-availabilityzone-7",43.001130,"serverless-billingaccountid-7",NULL,"gateway-billingaccounttype-7","network-billingcurrency-7",2024-04-18 08:20:36,2024-06-23 02:11:20,"instance-capacityreservationid-7","Used","Usage","Correction","volume-chargedescription-7","Recurring",2024-05-05 21:34:10,2024-01-25 02:32:31,"Usage","serverless-commitmentdiscountid-7","volume-commitmentdiscountname-7",87.977540,"Used","container-commitmentdiscounttype-7","database-commitmentdiscountunit-7",336.036721,"instance-consumedunit-7",238.325391,516.707592,728.843262,"volume-invoiceid-7","network-invoiceissuername-7",-429.009913,48.373539,NULL,"gateway-pricingcurrency-7",451.416997,997.040283,348.530913,291.520627,"storage-pricingunit-7","instance-providername-7","database-publishername-7",NULL,"compute-regionname-7","container-resourceid-7",NULL,"instance-resourcetype-7","Compute","instance-servicename-7","Compute","analytics-skuid-7","compute-skumeter-7",NULL,"compute-skupriceid-7","analytics-subaccountid-7","compute-subaccountname-7","gateway-subaccounttype-7","{""key"":""value-7""}"
NULL,189.999761,"gateway-billingaccountid-8","instance-billingaccountname-8","instance-billingaccounttype-8","network-billingcurrency-8",2024-09-15 19:12:00,2024-11-26 22:13:08,NULL,"Unused","Credit",NULL,"serverless-chargedescription-8","Usage-Based",2024-01-24 05:31:22,2024-01-08 21:59:33,"Spend","compute-commitmentdiscountid-8","database-commitmentdiscountname-8",949.524824,NULL,"network-commitmentdiscounttype-8",NULL,543.841010,"container-consumedunit-8",63.962660,623.954474,417.471133,"analytics-invoiceid-8","storage-invoiceissuername-8",938.711282,606.505197,"Committed","analytics-pricingcurrency-8",429.031284,80.586825,648.484365,854.640235,"storage-pricingunit-8","analytics-providername-8","serverless-publishername-8","storage-regionid-8","volume-regionname-8","volume-resourceid-8","compute-resourcename-8","instance-resourcetype-8","Developer Tools","analytics-servicename-8","Networking","gateway-skuid-8","volume-skumeter-8",NULL,NULL,"gateway-subaccountid-8","network-subaccountname-8","database-subaccounttype-8","{""key"":""value-8""}"
"compute-availabilityzone-9",709.183759,"network-billingaccountid-9",NULL,"gateway-billingaccounttype-9","compute-billingcurrency-9",2024-09-16 10:20:38,2024-08-09 18:52:44,"analytics-capacityreservationid-9","Unused","Adjustment","Correction","network-chargedescription-9","Usage-Based",2024-05-06 15:47:33,2024-12-25 21:35:30,"Usage","compute-commitmentdiscountid-9","compute-commitmentdiscountname-9",NULL,"Used","storage-commitmentdiscounttype-9","volume-commitmentdiscountunit-9",716.805791,"network-consumedunit-9",824.637719,58.598421,722.850230,"analytics-invoiceid-9","network-invoiceissuername-9",616.299171,892.592770,"Committed","container-pricingcurrency-9",407.362841,-819.139254,718.636222,242.811266,"database-pricingunit-9","container-providername-9","instance-publishername-9","database-regionid-9","compute-regionname-9","volume-resourceid-9","container-resourcename-9","storage-resourcetype-9","Analytics","instance-servicename-9","Databases","volume-skuid-9","network-skumeter-9",NULL,"network-skupriceid-9","instance-subaccountid-9","serverless-subaccountname-9","gateway-subaccounttype-9","{""key"":""value-9""}"
"analytics-availabilityzone-10",592.907141,"analytics-billingaccountid-10","analytics-billingaccountname-10","serverless-billingaccounttype-10","network-billingcurrency-10",2024-09-23 14:08:19,2024-03-25 02:31:45,"compute-capacityreservationid-10","Used","Credit","Correction","container-chargedescription-10","Recurring",2024-11-28 04:00:49,2024-10-15 01:16:14,"Spend",NULL,"serverless-commitmentdiscountname-10",733.343728,"Unused","gateway-commitmentdiscounttype-10","database-commitmentdiscountunit-10",59.682352,"network-consumedunit-10",968.824945,977.761511,242.652099,NULL,"database-invoiceissuername-10",516.120485,760.691172,"Other","instance-pricingcurrency-10",600.856270,374.647822,NULL,200.125671,"serverless-pricingunit-10","network-providername-10","gateway-publishername-10","compute-regionid-10",NULL,"volume-resourceid-10","database-resourcename-10","instance-resourcetype-10","Networking","network-servicename-10","Developer Tools","container-skuid-10","gateway-skumeter-10",NULL,"instance-skupriceid-10","gateway-subaccountid-10","network-subaccountname-10","network-subaccounttype-10","{""key"":""value-10""}"
